id,tweet,time,lat,long,hashtag
1622186446269386752, @AsyFutTrader: Are you buying fodder? #FIFA23,2023-02-05 10:52:42+00:00,37.97140384893991,-99.3511082009439,#FIFA23
1622186368469196802,HUGE!  Use code FUTZONE for 5% off at   #FIFA23 The best around  ,2023-02-05 10:52:23+00:00,37.628483446504816,-95.9770424479401,#FIFA23
1622186363918630914, @R_A_TPoke: FIFA23PS4DIV125,2023-02-05 10:52:22+00:00,41.61041547001408,-66.97524015007951,
1622186272210186241,Wanna see someone with TOTY Gullit bottle 9 wins?  #fifa23Were live for a full fut champs run in one night. Lets go  ,2023-02-05 10:52:00+00:00,40.91450588813727,-106.2241912258727,#fifa23
1622186235983958024," @anggitafitria27: Rutinitas minggu pagi aku pasti berenang, kalo temen sosmed ngapain selain colai JILBAB INDO",2023-02-05 10:51:52+00:00,43.83420242575269,-73.83740524131915,
1622186233366548484, @DonkTrading: Im once again asking to see your #FIFA23 squads Proceed to show me ,2023-02-05 10:51:51+00:00,39.83019418936507,-71.26684390414721,#FIFA23
1622185946434125824,Dango Ouattara  - RELEASE(FIFA 22-23)LINK (FIFA 23): LINK (FIFA 22): @FIFER_Mods@afcbournemouth#faces #facemod #fifa23 #fut23 #FUT #EASPOSFIFA ,2023-02-05 10:50:43+00:00,34.868259217512616,-111.98101796045098,#faces #facemod #fifa23 #fut23 #FUT #EASPORTSFIFA
1622185898652696578, @UTSources: Mendy  is the best LB in #FIFA23 I cant be shown better  ,2023-02-05 10:50:31+00:00,39.98085016273524,-72.34224882966497,#FIFA23
1622185891992317954, @M4TCH_777: FIFA23 Y  #FIFA23,2023-02-05 10:50:30+00:00,48.81313600172051,-103.61569345978629,#FIFA23
1622185665310883840,Sound on#GoalOfTheDay #fifa23 #ps5 #PlayStation5 #fifa23leaks #livestreaming #esports #ChampionsLeague #Twich #Matchday #StayTuned ,2023-02-05 10:49:36+00:00,44.29288056898093,-117.37049193071267,#GoalOfTheDay #fifa23 #ps5 #PlayStation5 #fifa23leaks #livestreaming #esports #ChampionsLeague #Twich #Matchday #StayTuned
1622185621589757953,"#PS5Share, #FIFA23  ",2023-02-05 10:49:25+00:00,34.572944732504354,-86.9444457446742,#PS5Share #FIFA23
1622185493277581313, @nikenaprilia27: Pengen belah duren tapi adanya lato lato Febri Pelintirin Tempat Minum,2023-02-05 10:48:55+00:00,45.14705860181158,-87.9674811817969,
1622185479184474119," @FutCreditsShop: Nouvelle baisse des prixQui dit fin de la Toty, dit crdits moins cherViens donc acheter tes crdits #FIFA23 au m",2023-02-05 10:48:51+00:00,37.80959630397871,-73.91988521985792,#FIFA23
1622185477058203649, @sekarastuti27: Pengen di gendong sampe mentok kaya dek ratna Ratna Full Senyum Digendong Sampek Mentok,2023-02-05 10:48:51+00:00,31.52584481343739,-96.1349705258589,
1622185418769711105, @FUT23News:  Sending #FIFA23 points to some of you who LIKE this for TOTY midfielders Follow so I can DM Your chance to pack a T,2023-02-05 10:48:37+00:00,29.7654147156552,-116.98754809758736,#FIFA23
1622185356656271360, @FUT23News: WINNER  12000 #FIFA23 points - @DS_Bolt 250 likes for another one now! ,2023-02-05 10:48:22+00:00,28.89353966476647,-93.09967117324486,#FIFA23
1622185337077243907, @FUT23News: Never forget #FIFA23 ,2023-02-05 10:48:17+00:00,40.89859928017477,-87.53278468423565,#FIFA23
1622185183737950209, @anggitafitria27: Sampe lupa rasanya di Doggy ayang kelamaan LDR Rina Tkw Taiwan Lama Ldr ,2023-02-05 10:47:41+00:00,26.97383671675182,-115.12390599864534,
1622185095686770688,"#PS5Share, #FIFA23 Ahora soy el Delantero de ESPAA ",2023-02-05 10:47:20+00:00,48.215391978671256,-79.60938405519926,#PS5Share #FIFA23
1622185074153365505, FIFA23 FIFA  # #,2023-02-05 10:47:15+00:00,32.334380481328985,-70.4475661796636,
1622185073297465345,"Nouvelle baisse des prixQui dit fin de la Toty, dit crdits moins cherViens donc acheter tes crdits #FIFA23 au meilleur prix20 Millions dispos sur Console15 Millions dispos sur PCVenez en DM pour connatre les tarifs, commande de 250k MinimumGaranti sans ban",2023-02-05 10:47:14+00:00,24.98555053766631,-92.15769529640534,#FIFA23
1622185049293742080, @ra_virdy_: Ra VIRDYinDM,2023-02-05 10:47:09+00:00,43.25731520205889,-97.34685431146764,
1622184979680710657, @TrueKiller_: Ronaldinho... #FIFA23 #FUT23 ,2023-02-05 10:46:52+00:00,43.722856776622905,-116.414194095338,#FIFA23 #FUT23
1622184829172449280," @anikanjarwati27: Es krim cowo sosmed pasti lebih enak dari mixue, Anget dan Gede Ceweknya Pasrah Saja ",2023-02-05 10:46:16+00:00,41.47267264733415,-109.34713554737588,
1622184582023106560, @nikenaprilia27: Sekecil apapun hutangmu tete harus dibayar ya Erna Pap Pake Iphone 11 Video Jernih Banget ,2023-02-05 10:45:17+00:00,45.30951477832254,-85.21133097913341,
